sensor_id,datetime_from,datetime_to,rollup,value,metric,reading_units,reading_date,measurement,measurement_name,sensor_units,location_id,location_name,location_owner_name,location_owner_id,latitude,longitude,country_id,country_name,country_code,timezone,first_read_at,last_read_at,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
26098,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,18.5,pm10,µg/m³,2022-12-31,pm10,pm10,µg/m³,6381,"Warszawa, ul. Tołstoja",Unknown Governmental Organization,4,52.28507300021083,20.933017999762576,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 06:00:00,,,,,,,,,,
26099,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,13.9,pm25,µg/m³,2022-12-31,pm2.5,pm25,µg/m³,6381,"Warszawa, ul. Tołstoja",Unknown Governmental Organization,4,52.28507300021083,20.933017999762576,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 06:00:00,,,,,,,,,,
35053,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,45.6,o3,µg/m³,2022-12-31,o₃ mass,o3,µg/m³,6386,"Warszawa, ul. Wokalna",Unknown Governmental Organization,4,52.16077200027042,21.03381899983936,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 15:00:00,,,,,,,,,,
35054,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,12.3,pm10,µg/m³,2022-12-31,pm10,pm10,µg/m³,6386,"Warszawa, ul. Wokalna",Unknown Governmental Organization,4,52.16077200027042,21.03381899983936,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 15:00:00,,,,,,,,,,
35055,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,7.86,pm25,µg/m³,2022-12-31,pm2.5,pm25,µg/m³,6386,"Warszawa, ul. Wokalna",Unknown Governmental Organization,4,52.16077200027042,21.03381899983936,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 15:00:00,,,,,,,,,,
35986,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,6.01,no2,µg/m³,2022-12-31,no₂ mass,no2,µg/m³,10775,"Warszawa, ul. Chrościckiego",Unknown Governmental Organization,4,52.207742000168864,20.906072999577745,77,Poland,PL,Europe/Warsaw,2019-01-04 09:00:00,2025-12-27 15:00:00,,,,,,,,,,
35988,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,45.2,o3,µg/m³,2022-12-31,o₃ mass,o3,µg/m³,10775,"Warszawa, ul. Chrościckiego",Unknown Governmental Organization,4,52.207742000168864,20.906072999577745,77,Poland,PL,Europe/Warsaw,2019-01-04 09:00:00,2025-12-27 15:00:00,,,,,,,,,,
35990,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,14.3,pm10,µg/m³,2022-12-31,pm10,pm10,µg/m³,10775,"Warszawa, ul. Chrościckiego",Unknown Governmental Organization,4,52.207742000168864,20.906072999577745,77,Poland,PL,Europe/Warsaw,2019-01-04 09:00:00,2025-12-27 15:00:00,,,,,,,,,,
35993,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,8.76,pm25,µg/m³,2022-12-31,pm2.5,pm25,µg/m³,10775,"Warszawa, ul. Chrościckiego",Unknown Governmental Organization,4,52.207742000168864,20.906072999577745,77,Poland,PL,Europe/Warsaw,2019-01-04 09:00:00,2025-12-27 15:00:00,,,,,,,,,,
35994,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,3.11,so2,µg/m³,2022-12-31,so₂ mass,so2,µg/m³,10775,"Warszawa, ul. Chrościckiego",Unknown Governmental Organization,4,52.207742000168864,20.906072999577745,77,Poland,PL,Europe/Warsaw,2019-01-04 09:00:00,2025-12-27 15:00:00,,,,,,,,,,
35996,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,0.508,bc,µg/m³,2022-12-31,bc,bc,µg/m³,10776,"Warszawa, al. Niepodległości",Unknown Governmental Organization,4,52.21929800005291,21.004723999701287,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 15:00:00,,,,,,,,,,
36156,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,509.0,co,µg/m³,2022-12-31,co mass,co,µg/m³,10776,"Warszawa, al. Niepodległości",Unknown Governmental Organization,4,52.21929800005291,21.004723999701287,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 15:00:00,,,,,,,,,,
36160,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,19.3,no2,µg/m³,2022-12-31,no₂ mass,no2,µg/m³,10776,"Warszawa, al. Niepodległości",Unknown Governmental Organization,4,52.21929800005291,21.004723999701287,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 15:00:00,,,,,,,,,,
36161,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,daily,27.8,pm10,µg/m³,2022-12-31,pm10,pm10,µg/m³,10776,"Warszawa, al. Niepodległości",Unknown Governmental Organization,4,52.21929800005291,21.004723999701287,77,Poland,PL,Europe/Warsaw,2018-11-21 18:00:00,2025-12-27 15:00:00,,,,,,,,,,
