sensor_id,datetime_from,datetime_to,timestamp_rollup,value,metric_name,units
26098,2022-12-31T23:00:00Z,2023-01-01T23:00:00Z,daily,18.5,pm10,µg/m³
26098,2023-01-01T23:00:00Z,2023-01-02T23:00:00Z,daily,27.6,pm10,µg/m³
26098,2023-01-02T23:00:00Z,2023-01-03T23:00:00Z,daily,20.8,pm10,µg/m³
26098,2023-01-03T23:00:00Z,2023-01-04T23:00:00Z,daily,28.9,pm10,µg/m³
26098,2023-01-04T23:00:00Z,2023-01-05T23:00:00Z,daily,8.26,pm10,µg/m³
26098,2023-01-05T23:00:00Z,2023-01-06T23:00:00Z,daily,17.5,pm10,µg/m³
26098,2023-01-06T23:00:00Z,2023-01-07T23:00:00Z,daily,31.3,pm10,µg/m³
26098,2023-01-07T23:00:00Z,2023-01-08T23:00:00Z,daily,30.4,pm10,µg/m³
26098,2023-01-08T23:00:00Z,2023-01-09T23:00:00Z,daily,35.5,pm10,µg/m³
26098,2023-01-09T23:00:00Z,2023-01-10T23:00:00Z,daily,39.5,pm10,µg/m³
26098,2023-01-10T23:00:00Z,2023-01-11T23:00:00Z,daily,26.6,pm10,µg/m³
26098,2023-01-15T23:00:00Z,2023-01-16T23:00:00Z,daily,24.4,pm10,µg/m³
26098,2023-01-16T23:00:00Z,2023-01-17T23:00:00Z,daily,26.9,pm10,µg/m³
26098,2023-01-17T23:00:00Z,2023-01-18T23:00:00Z,daily,28.0,pm10,µg/m³
26098,2023-01-18T23:00:00Z,2023-01-19T23:00:00Z,daily,33.4,pm10,µg/m³
26098,2023-01-19T23:00:00Z,2023-01-20T23:00:00Z,daily,25.9,pm10,µg/m³
26098,2023-01-20T23:00:00Z,2023-01-21T23:00:00Z,daily,14.1,pm10,µg/m³
26098,2023-01-21T23:00:00Z,2023-01-22T23:00:00Z,daily,24.2,pm10,µg/m³
26098,2023-01-22T23:00:00Z,2023-01-23T23:00:00Z,daily,32.8,pm10,µg/m³
26098,2023-01-23T23:00:00Z,2023-01-24T23:00:00Z,daily,40.9,pm10,µg/m³
26098,2023-01-24T23:00:00Z,2023-01-25T23:00:00Z,daily,38.2,pm10,µg/m³
26098,2023-01-25T23:00:00Z,2023-01-26T23:00:00Z,daily,39.5,pm10,µg/m³
26098,2023-01-26T23:00:00Z,2023-01-27T23:00:00Z,daily,43.9,pm10,µg/m³
26098,2023-01-27T23:00:00Z,2023-01-28T23:00:00Z,daily,22.0,pm10,µg/m³
26098,2023-01-28T23:00:00Z,2023-01-29T23:00:00Z,daily,25.8,pm10,µg/m³
26098,2023-01-29T23:00:00Z,2023-01-30T23:00:00Z,daily,22.0,pm10,µg/m³
26098,2023-01-30T23:00:00Z,2023-01-31T23:00:00Z,daily,15.4,pm10,µg/m³
26098,2023-01-31T23:00:00Z,2023-02-01T23:00:00Z,daily,10.7,pm10,µg/m³
26098,2023-02-01T23:00:00Z,2023-02-02T23:00:00Z,daily,13.1,pm10,µg/m³
26098,2023-02-13T23:00:00Z,2023-02-14T23:00:00Z,daily,27.7,pm10,µg/m³
26098,2023-02-14T23:00:00Z,2023-02-15T23:00:00Z,daily,33.1,pm10,µg/m³
26098,2023-03-18T23:00:00Z,2023-03-19T23:00:00Z,daily,40.8,pm10,µg/m³
26098,2023-03-19T23:00:00Z,2023-03-20T23:00:00Z,daily,65.6,pm10,µg/m³
26098,2023-03-20T23:00:00Z,2023-03-21T23:00:00Z,daily,23.5,pm10,µg/m³
26098,2023-03-21T23:00:00Z,2023-03-22T23:00:00Z,daily,32.3,pm10,µg/m³
26098,2023-03-23T23:00:00Z,2023-03-24T23:00:00Z,daily,20.3,pm10,µg/m³
26098,2023-03-24T23:00:00Z,2023-03-26T22:00:00Z,daily,15.3,pm10,µg/m³
26098,2023-03-25T23:00:00Z,2023-03-26T22:00:00Z,daily,12.2,pm10,µg/m³
26098,2023-03-26T22:00:00Z,2023-03-27T22:00:00Z,daily,19.7,pm10,µg/m³
26098,2023-03-27T22:00:00Z,2023-03-28T22:00:00Z,daily,18.1,pm10,µg/m³
26098,2023-03-28T22:00:00Z,2023-03-29T22:00:00Z,daily,19.3,pm10,µg/m³
26098,2023-03-29T22:00:00Z,2023-03-30T22:00:00Z,daily,35.6,pm10,µg/m³
26098,2023-03-30T22:00:00Z,2023-03-31T22:00:00Z,daily,18.9,pm10,µg/m³
26098,2023-03-31T22:00:00Z,2023-04-01T22:00:00Z,daily,15.4,pm10,µg/m³
26098,2023-04-01T22:00:00Z,2023-04-02T22:00:00Z,daily,12.0,pm10,µg/m³
