date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,15.1,12.0,18.7,0.0,,,13.2,,1017.0,
2023-01-02 00:00:00,10.3,7.6,14.1,0.0,,,8.1,,1019.4,
2023-01-03 00:00:00,7.2,4.1,11.5,0.0,,,17.6,,1024.0,
2023-01-04 00:00:00,2.7,-3.0,6.7,,,,10.4,,1021.0,
2023-01-05 00:00:00,7.1,2.7,9.0,8.1,,,24.9,,1005.5,
2023-01-06 00:00:00,0.7,-0.1,5.4,2.5,,,13.5,,1020.5,
2023-01-07 00:00:00,3.9,-0.1,7.1,3.3,,,6.0,,1020.2,
2023-01-08 00:00:00,3.1,2.2,5.1,0.0,,,16.5,,1014.8,
2023-01-09 00:00:00,4.7,2.7,7.0,,,,12.5,,1004.8,
2023-01-10 00:00:00,5.1,2.1,7.1,2.3,,,12.5,,1013.8,
2023-01-11 00:00:00,2.9,1.8,4.0,0.0,,,10.6,,1018.8,
2023-01-12 00:00:00,6.0,3.2,8.6,0.0,,,9.9,,1015.0,
2023-01-13 00:00:00,7.2,5.6,8.7,0.0,,,11.1,,1011.1,
2023-01-14 00:00:00,5.6,4.0,8.5,0.5,,,8.4,,1015.5,
2023-01-15 00:00:00,5.2,4.0,7.6,0.0,,,13.8,,1005.4,
2023-01-16 00:00:00,3.2,1.5,5.8,4.8,,,12.5,,1001.6,
2023-01-17 00:00:00,2.6,-1.2,5.0,2.8,,,9.6,,991.7,
2023-01-18 00:00:00,1.4,-0.5,2.5,3.8,,,13.4,,993.5,
2023-01-19 00:00:00,1.8,0.5,2.6,2.5,,,7.7,,1005.9,
2023-01-20 00:00:00,1.1,0.2,2.4,3.0,5.0,,13.2,,1014.8,
2023-01-21 00:00:00,0.9,0.1,2.0,5.1,12.0,,21.4,,1018.0,
2023-01-22 00:00:00,1.3,1.0,1.6,6.6,4.0,,14.8,,1029.8,
2023-01-23 00:00:00,1.3,0.7,2.0,0.0,2.0,,10.6,,1037.2,
2023-01-24 00:00:00,2.3,1.5,3.1,0.0,,,6.9,,1039.4,
2023-01-25 00:00:00,-0.7,-1.6,2.2,0.0,,,9.0,,1033.4,
2023-01-26 00:00:00,-0.1,-0.5,0.6,0.0,,,6.4,,1022.8,
2023-01-27 00:00:00,0.2,-1.0,1.6,0.0,,,8.0,,1022.4,
2023-01-28 00:00:00,-0.1,-1.0,0.5,0.0,1.0,,11.0,,1025.1,
2023-01-29 00:00:00,-0.6,-1.5,0.2,0.0,1.0,,14.2,,1021.9,
2023-01-30 00:00:00,1.0,-0.7,2.7,,,,15.3,,1005.0,
2023-01-31 00:00:00,2.6,1.7,4.3,1.5,1.0,,20.1,,1008.2,
2023-02-01 00:00:00,3.4,2.0,4.7,1.0,,,22.1,,1004.1,
2023-02-02 00:00:00,2.2,0.7,3.5,2.8,1.0,,17.5,,1007.7,
2023-02-03 00:00:00,-0.4,,1.9,1.3,,,,,,
2023-02-04 00:00:00,-1.9,-5.0,-0.4,4.1,5.0,,21.7,,1024.5,
2023-02-05 00:00:00,-4.0,-7.0,-2.2,0.0,3.0,,12.6,,1037.1,
2023-02-06 00:00:00,-5.6,-8.0,-1.4,59.9,2.0,,7.2,,1040.2,
2023-02-07 00:00:00,-1.6,-6.9,0.2,0.0,5.0,,12.8,,1041.0,
2023-02-08 00:00:00,-1.5,-5.2,2.0,0.0,5.0,,6.0,,1045.4,
2023-02-09 00:00:00,-3.1,-8.7,3.1,0.0,4.0,,7.8,,1037.9,
2023-02-10 00:00:00,0.3,-1.5,2.0,0.0,,,14.0,,1031.7,
2023-02-11 00:00:00,2.8,1.5,4.7,,,,17.8,,1023.9,
2023-02-12 00:00:00,1.7,0.0,4.8,0.3,,,12.6,,1034.7,
2023-02-13 00:00:00,4.9,0.0,6.1,0.0,,,18.3,,1032.8,
2023-02-14 00:00:00,3.6,2.6,5.3,0.0,,,18.9,,1033.7,
2023-02-15 00:00:00,2.2,0.0,4.0,0.0,,,7.2,,1031.8,
2023-02-16 00:00:00,1.9,-4.4,7.4,0.0,,,8.9,,1022.3,
2023-02-17 00:00:00,5.9,3.5,9.7,,,,12.3,,1013.6,
2023-02-18 00:00:00,5.5,3.0,9.9,6.9,,,28.8,,1007.5,
2023-02-19 00:00:00,2.7,0.7,5.9,1.0,,,18.9,,1012.4,
2023-02-20 00:00:00,4.2,0.6,8.1,0.0,,,23.8,,1010.1,
2023-02-21 00:00:00,6.4,4.7,8.7,7.1,,,28.4,,1006.6,
2023-02-22 00:00:00,1.6,-0.4,6.5,0.0,,,12.3,,1019.0,
2023-02-23 00:00:00,1.4,-3.3,5.3,0.0,,,13.8,,1017.9,
2023-02-24 00:00:00,4.6,1.6,7.5,0.3,,,7.7,,1002.5,
2023-02-25 00:00:00,2.7,1.6,4.3,4.3,,,12.5,,993.6,
2023-02-26 00:00:00,0.4,-1.0,2.6,2.3,1.0,,16.8,,1012.1,
2023-02-27 00:00:00,-0.2,-2.7,1.2,0.0,,,12.2,,1026.8,
2023-02-28 00:00:00,-1.7,-6.6,3.0,0.0,,,4.4,,1031.9,
2023-03-01 00:00:00,0.9,-4.5,6.6,0.0,,,9.3,,1027.9,
2023-03-02 00:00:00,0.5,-2.7,3.2,0.0,,,6.0,,1024.3,
2023-03-03 00:00:00,-1.5,-3.0,0.0,,,,15.4,,1018.4,
2023-03-04 00:00:00,0.8,-2.5,3.5,0.0,,,23.2,,1010.5,
2023-03-05 00:00:00,-2.4,-4.4,0.3,0.3,1.0,,12.2,,1008.7,
2023-03-06 00:00:00,-2.3,-8.4,0.5,0.0,1.0,,6.9,,1004.7,
2023-03-07 00:00:00,1.1,-4.7,5.2,1.8,,,10.5,,999.8,
2023-03-08 00:00:00,1.3,-0.2,5.1,1.0,1.0,,12.9,,999.1,
2023-03-09 00:00:00,-0.1,-0.7,1.4,2.0,3.0,,15.3,,999.2,
